Timestamp,PID,ProcessName,Status,Duration,ProcessCPUPercent,ProcessMemoryPercent,OverallSystemCPUUsagePercent,Core0_Percent,Core1_Percent,Core2_Percent,Core3_Percent,Core4_Percent,Core5_Percent,Core6_Percent,Core7_Percent,Core8_Percent,Core9_Percent,Core10_Percent,Core11_Percent,Core12_Percent,Core13_Percent,Core14_Percent,Core15_Percent,TotalSystemMemoryUsedGB
2025-09-03T09:01:24+02:00,5102,xdg-desktop-portal-gtk,Active,,0.01,0.18,1.06,1.98,0.00,1.01,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.99,0.99,1.01,0.00,0.00,0.00,3.38
2025-09-03T09:01:24+02:00,6291,Isolated Web Co,Active,,0.04,0.57,1.06,1.98,0.00,1.01,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.99,0.99,1.01,0.00,0.00,0.00,3.38
2025-09-03T09:01:24+02:00,7518,code,Active,,1.00,0.80,1.06,1.98,0.00,1.01,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.99,0.99,1.01,0.00,0.00,0.00,3.38
2025-09-03T09:01:24+02:00,102,cpuhp/13,Active,,0.00,0.00,1.06,1.98,0.00,1.01,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.99,0.99,1.01,0.00,0.00,0.00,3.38
2025-09-03T09:01:24+02:00,4591,gsd-a11y-settings,Active,,0.00,0.06,1.06,1.98,0.00,1.01,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.99,0.99,1.01,0.00,0.00,0.00,3.38
2025-09-03T09:01:24+02:00,4600,gsd-media-keys,Active,,0.01,0.17,1.06,1.98,0.00,1.01,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.99,0.99,1.01,0.00,0.00,0.00,3.38
2025-09-03T09:01:24+02:00,4676,gvfs-udisks2-volume-monitor,Active,,0.01,0.08,1.06,1.98,0.00,1.01,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.99,0.99,1.01,0.00,0.00,0.00,3.38
2025-09-03T09:01:24+02:00,5519,Socket Process,Active,,0.00,0.25,1.06,1.98,0.00,1.01,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.99,0.99,1.01,0.00,0.00,0.00,3.38
2025-09-03T09:01:24+02:00,6578,kworker/14:1-events,Active,,0.00,0.00,1.06,1.98,0.00,1.01,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.99,0.99,1.01,0.00,0.00,0.00,3.38
2025-09-03T09:01:24+02:00,2,kthreadd,Active,,0.00,0.00,1.06,1.98,0.00,1.01,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.99,0.99,1.01,0.00,0.00,0.00,3.38
2025-09-03T09:01:24+02:00,341,kworker/5:1-events,Active,,0.00,0.00,1.06,1.98,0.00,1.01,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.99,0.99,1.01,0.00,0.00,0.00,3.38
2025-09-03T09:01:24+02:00,53,kworker/10:0H-events_highpri,Active,,0.00,0.00,1.06,1.98,0.00,1.01,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.99,0.99,1.01,0.00,0.00,0.00,3.38
2025-09-03T09:01:24+02:00,138,kworker/2:1H-kblockd,Active,,0.01,0.00,1.06,1.98,0.00,1.01,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.99,0.99,1.01,0.00,0.00,0.00,3.38
2025-09-03T09:01:24+02:00,157,kworker/0:1H-kblockd,Active,,0.00,0.00,1.06,1.98,0.00,1.01,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.99,0.99,1.01,0.00,0.00,0.00,3.38
2025-09-03T09:01:24+02:00,1396,snapd,Active,,0.21,0.26,1.06,1.98,0.00,1.01,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.99,0.99,1.01,0.00,0.00,0.00,3.38
2025-09-03T09:01:24+02:00,8,kworker/R-netns,Active,,0.00,0.00,1.06,1.98,0.00,1.01,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.99,0.99,1.01,0.00,0.00,0.00,3.38
2025-09-03T09:01:24+02:00,238,kworker/15:1H-kblockd,Active,,0.00,0.00,1.06,1.98,0.00,1.01,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.99,0.99,1.01,0.00,0.00,0.00,3.38
2025-09-03T09:01:24+02:00,397,kworker/7:1-events,Active,,0.00,0.00,1.06,1.98,0.00,1.01,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.99,0.99,1.01,0.00,0.00,0.00,3.38
2025-09-03T09:01:24+02:00,1060,kworker/14:2-mm_percpu_wq,Active,,0.01,0.00,1.06,1.98,0.00,1.01,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.99,0.99,1.01,0.00,0.00,0.00,3.38
2025-09-03T09:01:24+02:00,2414,sleep,Active,,0.00,0.01,1.06,1.98,0.00,1.01,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.99,0.99,1.01,0.00,0.00,0.00,3.38
2025-09-03T09:01:24+02:00,2601,kworker/R-vcn_enc_0.1,Active,,0.00,0.00,1.06,1.98,0.00,1.01,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.99,0.99,1.01,0.00,0.00,0.00,3.38
2025-09-03T09:01:24+02:00,4593,gsd-color,Active,,0.01,0.14,1.06,1.98,0.00,1.01,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.99,0.99,1.01,0.00,0.00,0.00,3.38
2025-09-03T09:01:24+02:00,6292,Isolated Servic,Active,,0.06,0.52,1.06,1.98,0.00,1.01,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.99,0.99,1.01,0.00,0.00,0.00,3.38
